年份,词语,出现次数,总词数,每百万词出现次数
1978,法制,759,5093611,149.01
1978,法治,8,5093611,1.57
1979,法制,1215,6024805,201.67
1979,法治,44,6024805,7.3
1980,法制,786,7303762,107.62
1980,法治,224,7303762,30.67
1981,法制,683,7375756,92.6
1981,法治,120,7375756,16.27
1982,法制,720,7384973,97.5
1982,法治,73,7384973,9.88
1983,法制,587,7291426,80.51
1983,法治,43,7291426,5.9
1984,法制,494,7486844,65.98
1984,法治,35,7486844,4.67
1985,法制,1150,8070677,142.49
1985,法治,85,8070677,10.53
1986,法制,1555,8080761,192.43
1986,法治,117,8080761,14.48
1987,法制,1219,8070082,151.05
1987,法治,121,8070082,14.99
1988,法制,1131,8020184,141.02
1988,法治,167,8020184,20.82
1989,法制,1092,7565593,144.34
1989,法治,143,7565593,18.9
1990,法制,769,7737208,99.39
1990,法治,117,7737208,15.12
1991,法制,732,7515484,97.4
1991,法治,149,7515484,19.83
1992,法制,761,7721640,98.55
1992,法治,74,7721640,9.58
1993,法制,1186,7692310,154.18
1993,法治,99,7692310,12.87
1994,法制,1298,8158583,159.1
1994,法治,100,8158583,12.26
1995,法制,1308,9494039,137.77
1995,法治,114,9494039,12.01
1996,法制,1508,9407908,160.29
1996,法治,160,9407908,17.01
1997,法制,1681,9512358,176.72
1997,法治,323,9512358,33.96
1998,法制,1469,9492289,154.76
1998,法治,371,9492289,39.08
1999,法制,1943,9502087,204.48
1999,法治,778,9502087,81.88
2000,法制,1961,9560673,205.11
2000,法治,854,9560673,89.32
2001,法制,2039,9641930,211.47
2001,法治,634,9641930,65.75
2002,法制,1864,9610260,193.96
2002,法治,464,9610260,48.28
2003,法制,1721,11581569,148.6
2003,法治,829,11581569,71.58
2004,法制,1728,11416047,151.37
2004,法治,758,11416047,66.4
2005,法制,958,11221414,85.37
2005,法治,926,11221414,82.52
2006,法制,1070,11396580,93.89
2006,法治,1066,11396580,93.54
2007,法制,909,11214311,81.06
2007,法治,1155,11214311,102.99
2008,法制,821,11004751,74.6
2008,法治,1093,11004751,99.32
2009,法制,723,11901724,60.75
2009,法治,710,11901724,59.66
2010,法制,858,14912909,57.53
2010,法治,898,14912909,60.22
2011,法制,934,15273955,61.15
2011,法治,1091,15273955,71.43
2012,法制,705,14527596,48.53
2012,法治,1411,14527596,97.13
2013,法制,577,15234000,37.88
2013,法治,2013,15234000,132.14
2014,法制,909,15538032,58.5
2014,法治,7438,15538032,478.7
2015,法制,595,15690667,37.92
2015,法治,7011,15690667,446.83
2016,法制,453,15429788,29.36
2016,法治,5056,15429788,327.68
2017,法制,358,14785509,24.21
2017,法治,4207,14785509,284.54
2018,法制,423,14900538,28.39
2018,法治,4900,14900538,328.85
2019,法制,262,11562978,22.66
2019,法治,3957,11562978,342.21
2020,法制,217,11964332,18.14
2020,法治,4897,11964332,409.3
2021,法制,198,11856397,16.7
2021,法治,6579,11856397,554.89
2022,法制,134,10802878,12.4
2022,法治,4270,10802878,395.27
2023,法制,161,11613389,13.86
2023,法治,4233,11613389,364.49
2024,法制,78,7584389,10.28
2024,法治,2457,7584389,323.95
